text;group;groupText;masked_text
Vergi Dairesi bildirim: Ödemeniz (2500 TL) onaylanmadı. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;Vergi Dairesi bildirim: Ödemeniz (2500 TL) onaylanmadı. Ödemeyi tamamlamak için: <URL>
Kalbini ferah tut;2;Normal;Kalbini ferah tut
Hazır mıyız;2;Normal;Hazır mıyız
agbi nasilsin ;2;Normal;agbi nasilsin 
TOTAL'DE AYRI GUNLERDE 2 DEFA DAHA 75 TL VE UZERI HARCA, EKSTRA BONUS KAZAN! SON GUN 15 SUBAT!DETAYLI BiLGi: bonus<URL>;1;Promosyon;TOTAL'DE AYRI GUNLERDE 2 DEFA DAHA <PRICE> VE UZERI HARCA, EKSTRA BONUS KAZAN! SON GUN 15 SUBAT!DETAYLI BiLGi: bonus<URL>
Tebrikler! Kampanya kazanımı: Büyük ödülünüzü almak için doğrulama yapın: <URL>;0;Dolandiricilik;Tebrikler! Kampanya kazanımı: Büyük ödülünüzü almak için doğrulama yapın: <URL>
Kargo bilgilendirmesi: 'teslimatta sorun' kaydı. Paketinizi görüntülemek için: <URL>;0;Dolandiricilik;Kargo bilgilendirmesi: 'teslimatta sorun' kaydı. Paketinizi görüntülemek için: <URL>
Facebook Destek bildirim: Ödemeniz (1.250 TL) onaylanmadı. Ödemeyi tamamlamak için: <URL>;0;Dolandiricilik;Facebook Destek bildirim: Ödemeniz (<PRICE>) onaylanmadı. Ödemeyi tamamlamak için: <URL>
Saolasin kardesim;2;Normal;Saolasin kardesim
Iyiyim zeynep abla sen napiyorsun;2;Normal;Iyiyim zeynep abla sen napiyorsun
uyarı! SGK  hesabınızdan yetkisiz çekim. Hemen bilgi güncelleyin yoksa hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>;0;Dolandiricilik;uyarı! SGK  hesabınızdan yetkisiz çekim. Hemen bilgi güncelleyin yoksa hesabınız kalıcı olarak kapatılacak. Tel: <PHONE>
