text;group;groupText;
Hesabýnýzda olaðan dýþý borçlandýrma bulundu. Ýtiraz etmek için baðlantýya týklayýn.;0;Dolandiricilik;
Vergi borcunuz bulunmaktadýr. Haciz uygulanmamasý için hemen týklayýn.;0;Dolandiricilik;
Hesabýnýzdan 8000 TL’ye “Profesyonel Sakal Tarama Seti” sipariþ edildi. Tarak size ait deðilse iptal edin: <URL>;0;Dolandiricilik;
Hesabýnýzda olaðan dýþý para aktarýmýna rastlandý. Ýtiraz etmek için baðlantýya týklayýn.;0;Dolandiricilik;
Ama ben ütü yapýp valiz hazýrlayacaðým;2;Normal;
Paket teslim edilemedi. Yeni teslim tarihi seçmek için týklayýn veya <PHONE>;0;Dolandiricilik;
Yatýrým platformu %300 garanti ile açýldý. Üye olmak için: <URL>;0;Dolandiricilik;
Cok yakismissiniz bize bi tanede yanyana sarilirken bi resim gonder emi! Bi taraftan kardesim evleniyomus gibi uzuluyom bi taraftan kardesim bizim ilimize geliyo diye seviniyom! Hep senin yuzunden :) selamlar saygilar ailelere;2;Normal;
SY. UYEMIZ ZUMBA UCRETSIZ TANITIM DERSI C.TESI 13.00-14:00/14:00-15:00 ARASI 2 GRUB YAPILACAKTIR .KATILMAK ISTEYEN UYELERIMIZI BEKLIYORUZ.;1;Promosyon;
Kayýp paket: Kargonuz adres bilgisi eksik.doðrulamak için linke týklayýn: <URL>;0;Dolandiricilik;
Limitiniz yükseltildi. Sözleþme: <URL>;0;Dolandiricilik;
OKAN BEY EVE ULASTI MI;2;Normal;
CarrefourSA Kart ile sepetiniz TL puanla dolsun! 26-31 Aralik'ta tek seferde yapacaginiz 100 TL ve uzeri oyuncak alisverislerinizde 20TL puan firsati! Bilgi: <PHONE>;1;Promosyon;
ACÝL! KARGO: Ýsim bilgileri uyuþmuyor. Kargonuzu almak için linke girin ve güncelleme yapýn: <URL>;0;Dolandiricilik;
Paraf'tan Size Ozel 50 TL ye varan indirim firsati! Kartiniz ile yapacaginiz ilk iþleminizde iþlem tutarinin %25 i kartiniza iade edilecektir. <PHONE>;1;Promosyon;
Kimliðiniz çalýndý.doðrulama için hemen giriþ yapýn: <URL>;0;Dolandiricilik;
Vermiþ iþte benim sevgili hocalarým kaðýdý çok kötü demiþ;2;Normal;
